Record Number	Plant Species	Plant Genus	Plant Family	Mosquito species	Mosquito Species (grouping)	Country of the study	LatDD	LonDD	Number of species of plant studied	Number of attractive plants	Reason of plant selection	Methodology approach	Observation/experimental design	Control/No control	Measurements	Sex	Replicates	General purpose of the study	Detailed purpose of the study	Rick of bias of the study	Study ID	Year
318	Solidago sempervirens	Solidago	Asteraceae	Aedes cantator	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	12	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	Low	Magnarelli_1979_43	1979
319	Solidago spp.	Solidago	Asteraceae	Aedes vexans	Aedes vexans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
320	Solidago spp.	Solidago	Asteraceae	Aedes stimulans	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
321	Solidago spp.	Solidago	Asteraceae	Aedes canadensis	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
322	Solidago spp.	Solidago	Asteraceae	Aedes cinereus	Aedes cinereus	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
323	Solidago spp.	Solidago	Asteraceae	Aedes triseriatus	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
324	Solidago spp.	Solidago	Asteraceae	Anopheles walkeri	Other Anopheles species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
325	Solidago spp.	Solidago	Asteraceae	Anopheles earlei	Other Anopheles species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
326	Solidago spp.	Solidago	Asteraceae	Culex restuans	Culex restuans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
327	Solidago spp.	Solidago	Asteraceae	Culex salinarius	Other Culex species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
328	Solidago spp.	Solidago	Asteraceae	Culex territans	Other Culex species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
329	Solidago spp.	Solidago	Asteraceae	Culiseta silvestris minnesotae	Culiseta species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
330	Solidago spp.	Solidago	Asteraceae	Culiseta inornata	Culiseta species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
331	Solidago spp.	Solidago	Asteraceae	Culiseta morsitans	Culiseta species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
332	Solidago spp.	Solidago	Asteraceae	Coquillettidia perturbans	Coquillettidia species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
333	Sonchus oleraceus	Sonchus	Asteraceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
334	Spiraea bella	Spiraea	Rosaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
335	Spiraea japonica	Spiraea	Rosaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
336	Spiraea latifolia	Spiraea	Rosaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
337	Spiraea latifolia	Spiraea	Rosaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
338	Spiraea latifolia	Spiraea	Rosaceae	Aedes fitchii	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
339	Spiraea latifolia	Spiraea	Rosaceae	Culiseta inornata	Culiseta species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
340	Spiraea latifolia	Spiraea	Rosaceae	Coquillettidia perturbans	Coquillettidia species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
341	Spiraea latifolia	Spiraea	Rosaceae	Culex restuans	Culex restuans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
342	Spiraea salicifolia	Spiraea	Rosaceae	Aedes sticticus	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
343	Spiraea salicifolia	Spiraea	Rosaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
344	Spiraea salicifolia	Spiraea	Rosaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
345	Spiraea salicifolia	Spiraea	Rosaceae	Aedes punctor	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
346	Spiraea tomentosa	Spiraea	Rosaceae	Aedes sticticus	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
347	Spiraea tomentosa	Spiraea	Rosaceae	Anopheles walkeri	Other Anopheles species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
348	Spiraea tomentosa	Spiraea	Rosaceae	Coquillettidia perturbans	Coquillettidia species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
349	Spiraea x rosalba	Spiraea	Rosaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
350	Stachytarpheta urticifolia	Stachytarpheta	Verbenaceae	Anopheles arabiensis	Anopheles arabiensis	Reunion	-21.1151	55.5364	5	2	Attractive in previous studies	Semifield	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	Males		Study of mosquito plant preferences	Study of mosquito plant preferences and mosquito energy reserves	High	Gouagna_2014_170	2014
351	Symphoricarpos occidentalis	Symphoricarpos	Caprifoliaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
352	Symphoricarpos occidentalis	Symphoricarpos	Caprifoliaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
353	Syringa reticulata var. reticulata = Syringa amurensis japonica	Syringa	Oleaceae	Culiseta inornata	Culiseta species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
354	Syringa reticulata var. reticulata = Syringa amurensis japonica	Syringa	Oleaceae	Coquillettidia perturbans	Coquillettidia species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
355	Syringa reticulata var. reticulata = Syringa amurensis japonica	Syringa	Oleaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
356	Syringa reticulata var. reticulata = Syringa amurensis japonica	Syringa	Oleaceae	Aedes fitchii	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
357	Syringa reticulata var. reticulata = Syringa amurensis japonica	Syringa	Oleaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
358	Syringa vulgaris	Syringa	Oleaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
359	Tamarix jordanis	Tamarix	Tamaricaceae	Culex pipiens	Culex pipiens	Israel	31.51354222	35.02792347	10	3	Present and abundant in the study sites	Field	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	24	Application of mosquito nectar feeding in mosquito control	"Study of mosquito feeding habits, Application in mosquito control"	Low	Schlein_2008_13b	2008
360	Tamarix pentandra = Tamarix parviflora var. parviflora	Tamarix	Tamaricaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
361	Tamarix pentandra = Tamarix parviflora var. parviflora	Tamarix	Tamaricaceae	Aedes trivittatus	Aedes trivittatus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
362	Tanacetum vulgare	Tanacetum	Asteraceae	Aedes cantans	Other Aedes species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
363	Tanacetum vulgare	Tanacetum	Asteraceae	Aedes caspius	Other Aedes species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
364	Tanacetum vulgare	Tanacetum	Asteraceae	Aedes cinereus	Aedes cinereus	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
365	Tanacetum vulgare	Tanacetum	Asteraceae	Aedes detritus	Other Aedes species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
366	Tanacetum vulgare	Tanacetum	Asteraceae	Aedes dorsalis	Other Aedes species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
367	Tanacetum vulgare	Tanacetum	Asteraceae	Anopheles claviger	Other Anopheles species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
368	Tanacetum vulgare	Tanacetum	Asteraceae	Aedes punctor	Other Aedes species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
369	Tanacetum vulgare	Tanacetum	Asteraceae	Anopheles maculipennis	Other Anopheles species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
370	Tanacetum vulgare	Tanacetum	Asteraceae	Culex pipiens 	Culex pipiens	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
371	Tanacetum vulgare	Tanacetum	Asteraceae	Culex torrentium	Other Culex species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
372	Tanacetum vulgare	Tanacetum	Asteraceae	Culiseta annulata	Culiseta species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
373	Tanacetum vulgare	Tanacetum	Asteraceae	Culiseta bergrothi	Culiseta species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
374	Tanacetum vulgare	Tanacetum	Asteraceae	Coquillettidia richardii	Coquillettidia species	Sweden	62.73420986	17.06243199	1	1	Observation of mosquitoes visiting/feeding on the plants	Field	Observation of mosquitoes feeding on nectar		Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits and gonotrophic activity in females	High	Andersson_1987_106	1987
375	Tanacetum vulgare	Tanacetum	Asteraceae	Anopheles messeae 	Other Anopheles species	Sweden	62.73420986	17.06243199	2	2	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits before hibernation	High	Jaenson_1991_149	1991
376	Tanacetum vulgare	Tanacetum	Asteraceae	Culex pipiens	Culex pipiens	Canada	57.55048004	-98.41680518	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of pollination	"Study of mosquito feeding habits, Pollination"	High	Peach_2016_114	2016
377	Tanacetum vulgare	Tanacetum	Asteraceae	Culex tarsalis	Other Culex species	Canada	57.55048004	-98.41680518	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of pollination	"Study of mosquito feeding habits, Pollination"	High	Peach_2016_114	2016
378	Tanacetum vulgare	Tanacetum	Asteraceae	Culiseta incidens	Culiseta species	Canada	57.55048004	-98.41680518	3	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of pollination	"Study of mosquito feeding habits, Pollination"	High	Peach_2016_114	2016
379	Tanacetum vulgare	Tanacetum	Asteraceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
380	Taraxacum officinale = Taraxacum sect. Taraxacum	Taraxacum	Asteraceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
381	Taraxacum officinale = Taraxacum sect. Taraxacum	Taraxacum	Asteraceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	17	9	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and gonotrophic activity in females	Low	Magnarelli_1977_105	1977
382	Tecoma stans	Tecoma	Bignoniaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	5	Present and abundant in the study sites	Lab	Choice assay	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	"Latin square design (13 plant species in 13 positions in the
caged arena)"	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42a	2007
383	Tecoma stans	Tecoma	Bignoniaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	4	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Manda_2007_42c	2007
384	Tecoma stans	Tecoma	Bignoniaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	6	Present and abundant in the study sites	Lab	"Choice assay, Gas chromatography in mosquito crops and plants"	Yes	Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42b	2007
385	Thevetia neriifolia = Cascabela thevetia	Thevetia	Apocynaceae	Anopheles gambiae	Anopheles gambiae	Burkina Faso	12.10870904	-1.693281621	Not known	5	Observation of mosquitoes visiting/feeding on the plants	"Field, Lab"	"Single choice, Cold anthrone method"	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	Males	Every 3 days for 4 months	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Gouagna_2010_135	2010
386	Thevetia neriifolia = Cascabela thevetia	Thevetia	Apocynaceae	Anopheles coluzzi	Other Anopheles species	Burkina Faso 	12.10870904	-1.693281621	2	2	Present and abundant in the study sites	"Field, Lab"	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	5	Effects of mosquito feeding behaviour	Effects of mosquito feeding behaviour in malaria transmission	High	Hien_2016_140	2016
387	Trifolium hybridum	Trifolium	Fabaceae	Aedes abserratus	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
388	Trifolium pratense	Trifolium	Fabaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
389	Trifolium repens	Trifolium	Fabaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
390	Trifolium repens	Trifolium	Fabaceae	Aedes fitchii	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
391	Vaccinium uliginosum	Vaccinium	Ericaceae	Aedes communis	Aedes communis	Sweden	62.73420986	17.06243199	8	6	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on nectar availability	High	Andersson_1990_104	1990
392	Verbena stricta	Verbena	Verbenaceae	Aedes punctor	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
393	Verbena stricta	Verbena	Verbenaceae	Aedes sticticus	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
394	Verbena stricta	Verbena	Verbenaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
395	Viburnum acerifolium	Viburnum	Adoxaceae	Aedes stimulans	Other Aedes species	"Connecticut, USA"	41.599998	-72.699997	7	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	High	Magnarelli_1983_113	1983
396	Viburnum acerifolium	Viburnum	Adoxaceae	Aedes canadensis	Other Aedes species	"Connecticut, USA"	41.599998	-72.699997	7	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	High	Magnarelli_1983_113	1983
